Film,Rotten Tomatoes  critics,Metacritic  critics,Average critics ,Rotten Tomatoes Audience ,Metacritic Audience ,Rotten Tomatoes vs Metacritic  deviance,Average audience ,Audience vs Critics deviance ,Primary Genre,Genres,Script Type,Opening weekend ($million),Opening Weekend,Domestic gross ($million),Domestic Gross,Foreign Gross ($million),Foreign Gross,Worldwide Gross,Worldwide Gross ($million), of Gross earned abroad,Budget ($million), Budget recovered, Budget recovered opening weekend,Year,Oscar Winners,Oscar Detail,Link
7 Days in Entebbe,26,49,38,39,59,-20,49,-12,thriller,"Thriller, Suspense",based on a true story,1.6,"1,592,645",3.2,"3,189,220",5.5,"5,465,548","8,654,768",87,63.15%,-,-,-,2018,,,https://www.amazon.com/7-Days-Entebbe-Daniel-BrC3BChl/dp/B07BF8T78W/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546964038&sr=1-2&keywords=7+Days+in+Entebbe
A Simple Favor,85,67,76,77,70,7,73.5,3,thriller,Thriller,adaptation,16.0,"16,011,689",53.5,"53,548,586",41.3,"41,285,014","94,833,600",948,43.53%,20,-,-,2018,,,https://www.amazon.com/Simple-Favor-Anna-Kendrick/dp/B07HHWHRS9/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546963941&sr=1-1&keywords=A+Simple+Favor
Aquaman ,65,55,60,80,73,7,76.5,-17,Action,"Action, Adventure",adaptation,67.9,"67,873,522",259.7,"259,720,880",681.0,"681,000,000","940,720,880",941,72.39%,160,-,-,2018,,,-
Bad Samaritan,54,42,48,73,65,8,69,-21,thriller,"Thriller, Suspense",original screenplay,1.7,"1,726,868",3.4,"3,424,744",0.0,0,"3,424,744",34,0,-,-,-,2018,,,https://www.amazon.com/Bad-Samaritan-David-Tennant/dp/B07F1L2CTZ/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546970011&sr=1-2&keywords=Bad+Samaritan
Beatriz At Dinner,75,68,72,56,52,4,54,18,comedy,comedy,original screenplay,0.1,"141,959",7.1,"7,115,854",0.0,0,"7,115,854",7,0.00%,-,-,-,2017,,,https://www.amazon.co.uk/Dinner-Steve-Coogan/dp/B07BMDS55H/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546981246&sr=1-1&keywords=Beatriz+At+Dinner
Beirut (aka The Negotiator),83,69,76,56,66,-10,61,15,Action,Action,original screenplay,1.7,"1,734,497",5.0,"5,019,226",2.2,"2,239,308","7,258,534",73,30.85%,-,-,-,2018,,,-
Blindspotting,93,76,85,90,79,11,84.5,0,Drama,Drama,original screenplay,0.3,"338,999",4.2,"4,153,783",0.0,"25,419","4,179,202",42,0.61%,-,-,-,2018,,,https://www.amazon.com/Blindspotting-Daveed-Diggs/dp/B07G4N3J9R/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546970094&sr=1-1&keywords=Blindspotting
Detective Chinatown 2,54,48,51,71,-,-,-,-,Action,Action,sequel,0.7,"704,047",2.0,"1,983,984",542.1,"542,077,932","544,061,916",544,99.64%,-,-,-,2018,,,https://www.amazon.com/Detective-Chinatown-Wang-Baoqiang/dp/B01MSC08RY/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546970420&sr=1-1&keywords=Detective+Chinatown+2
God's Not Dead: A Light in Darkness,13,33,23,53,38,15,45.5,-23,Drama,Drama,sequel,2.7,"2,689,677",5.7,"5,728,940",0.0,0,"5,728,940",57,0,-,-,-,2018,,,https://www.amazon.com/Gods-Not-Dead-Light-Darkness/dp/B07FMJDX7C/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546974478&sr=1-1&keywords=God27s+Not+Dead3A+A+Light+in+Darkness
Gringo,39,46,43,40,55,-15,47.5,-5,comedy,Black Comedy,original screenplay,2.7,"2,722,420",5.0,"4,969,853",6.0,"6,031,774","11,001,627",110,54.83%,-,-,-,2018,,,https://www.amazon.com/Gringo-David-Oyelowo/dp/B078J2R4MC/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546974536&sr=1-2&keywords=gringo
