title ,worldwide gross (m),% budget recovered,X times budget recovered,budget  (millions),domestic gross (m),domestic %,international gross (m),% of gross from international,worldwide gross,year,decade,source,budget source,force label,horror
300,456,702%,7.0,65,211,46.2%,245,53.8%,"456,082,343",2007,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=468,,,not horror
1917,385,427%,4.3,90,159,41.4%,225,58.6%,"384,576,334",2019,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=549,"https://www.nytimes.com/2020/01/12/movies/1917-box-office-no-1.html#:~:text=Directed%20by%20Sam%20Mendes%20and,make%2C%20not%20including%20marketing%20expenses.",,not horror
2012,791,396%,4.0,200,166,21.0%,625,79.0%,"791,217,826",2009,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=299,,,not horror
101 Dalmatians,321,479%,4.8,67,136,42.5%,185,57.5%,"320,689,294",1996,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=678,"https://en.wikipedia.org/wiki/101_Dalmatians_(1996_film)#:~:text=101%20Dalmatians%20was%20released%20on,highest%2Dgrossing%20film%20of%201996.",,not horror
22 Jump Street,331,663%,6.6,50,192,57.9%,140,42.1%,"331,333,876",2014,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=657,,,not horror
300: Rise of an Empire,338,307%,3.1,110,107,31.6%,231,68.4%,"337,580,051",2014,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=642,,,not horror
A Beautiful Mind,317,546%,5.5,58,171,53.9%,146,46.1%,"316,791,257",2001,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=684,https://en.wikipedia.org/wiki/A_Beautiful_Mind_(film),,not horror
A Bug's Life,363,303%,3.0,120,163,44.8%,200,55.2%,"363,258,859",1998,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=589,https://en.wikipedia.org/wiki/A_Bug%27s_Life,,not horror
A Christmas Carol,325,163%,1.6,200,138,42.4%,187,57.6%,"325,286,646",2009,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=669,,,not horror
A Haunted House,60,2406%,24.1,2.5,40.0,66.6%,20.1,33.4%,"60,141,683",2013,2010's,,,,horror
A Quiet Place,341,2006%,20.1,17,188,55.2%,153,44.8%,"340,952,971",2018,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=639,,,horror
A Star Is Born,436,1212%,12.1,36,215,49.4%,221,50.6%,"436,233,122",2018,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=486,,,not horror
Air Force One,315,371%,3.7,85,173,54.9%,142,45.1%,"315,156,409",1997,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=687,https://en.wikipedia.org/wiki/Air_Force_One_(film),,not horror
Aladdin,1051,574%,5.7,183,356,33.8%,695,66.2%,"1,050,693,953",2019,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=240,,,not horror
Aladdin,504,1800%,18.0,28,217,43.1%,287,56.9%,"504,050,219",1992,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=426,https://en.wikipedia.org/wiki/Aladdin_(1992_Disney_film),,not horror
Alice in Wonderland,1025,513%,5.1,200,334,32.6%,691,67.4%,"1,025,468,216",2010,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=246,,,not horror
Alita: Battle Angel,405,238%,2.4,170,86,21.2%,319,78.8%,"404,980,543",2019,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=524,,,not horror
Alvin & the Chipmunks: The Squeakquel,443,591%,5.9,75,220,49.6%,224,50.4%,"443,140,005",2009,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=480,,,not horror
Alvin and the Chipmunks,365,522%,5.2,70,217,59.5%,148,40.5%,"365,352,546",2007,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=586,,,not horror
Alvin and the Chipmunks: Chipwrecked,343,428%,4.3,80,133,38.8%,210,61.2%,"342,695,435",2011,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=636,https://en.wikipedia.org/wiki/Alvin_and_the_Chipmunks:_Chipwrecked,,not horror
American Beauty,356,2375%,23.8,15,130,36.5%,226,63.5%,"356,296,601",1999,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=605,"https://en.wikipedia.org/wiki/American_Beauty_(1999_film)#:~:text=It%20was%20the%20second%2Dbest,against%20its%20%2415%2Dmillion%20budget.",,not horror
American Sniper,547,928%,9.3,59,350,64.0%,197,36.0%,"547,459,020",2014,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=397,,,not horror
Angels & Demons,486,324%,3.2,150,133,27.4%,353,72.6%,"485,930,816",2009,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=438,,,not horror
Annabelle,255,3927%,39.3,6.5,84.3,33.0%,171.0,67.0%,"255,273,813",2014,2010's,,,,horror
Annabelle: Creation,306,2039%,20.4,15.0,102.1,33.4%,203.7,66.6%,"305,792,201",2017,2010's,,,,horror
Ant-Man,519,399%,4.0,130,180,34.7%,339,65.3%,"519,311,965",2015,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=422,,,not horror
Ant-Man and the Wasp,623,319%,3.2,195,217,34.8%,406,65.2%,"622,674,139",2018,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=365,,,not horror
Apollo 13,355,683%,6.8,52,174,48.9%,181,51.1%,"355,237,933",1995,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=607,https://en.wikipedia.org/wiki/Apollo_13_(film),,not horror
Aquaman,1149,718%,7.2,160,335,29.2%,813,70.8%,"1,148,528,393",2018,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=224,,,not horror
Armageddon,554,396%,4.0,140,202,36.4%,352,63.6%,"553,709,788",1998,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=394,https://en.wikipedia.org/wiki/Armageddon_(1998_film),,not horror
As Good as It Gets,314,628%,6.3,50,148,47.3%,166,52.7%,"314,178,011",1997,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=690,https://en.wikipedia.org/wiki/As_Good_as_It_Gets,,not horror
Attack of the Clones,654,569%,5.7,115,311,47.5%,343,52.5%,"653,779,970",2002,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=353,https://en.wikipedia.org/wiki/Star_Wars:_Episode_II_%E2%80%93_Attack_of_the_Clones,,not horror
Austin Powers: The Spy Who Shagged Me,312,946%,9.5,33,206,66.0%,106,34.0%,"312,016,928",1999,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=695,https://en.wikipedia.org/wiki/Austin_Powers:_The_Spy_Who_Shagged_Me,,not horror
Avatar,2923,1233%,12.3,237,785,26.9%,"2,138",73.1%,"2,922,917,914",2009,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=200,,,not horror
Avatar 2*,1930,772%,7.7,250,576,31.1%,"1,353",68.9%,"1,478,051,935",2022,2020's,https://www.the-numbers.com/movie/Avatar-The-Way-of-Water-(2022)#tab=summary,https://variety.com/2022/film/news/avatar-2-budget-expensive-2-billion-turn-profit-1235438907/,YES,not horror
Avengers: Age of Ultron,1403,561%,5.6,250,459,32.7%,944,67.3%,"1,402,809,540",2015,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=212,,,not horror
Avengers: Endgame,2798,786%,7.9,356,858,30.7%,"1,939",69.3%,"2,797,501,328",2019,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=201,,,not horror
Avengers: Infinity War,2048,638%,6.4,321,679,33.1%,"1,370",66.9%,"2,048,359,754",2018,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=204,,YES,not horror
Back to the Future,383,2018%,20.2,19,213,55.5%,171,44.5%,"383,336,762",1985,1980's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=553,https://en.wikipedia.org/wiki/Back_to_the_Future,,not horror
Back to the Future II,333,831%,8.3,40,119,35.8%,214,64.2%,"332,500,002",1989,1980's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=654,"https://en.wikipedia.org/wiki/Back_to_the_Future_Part_II#:~:text=The%20film%20was%20produced%20on,sets%20and%20writing%20the%20scripts.",,not horror
Bad Boys for Life,427,474%,4.7,90,206,48.4%,220,51.6%,"426,505,244",2020,2020's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=498,https://en.wikipedia.org/wiki/Bad_Boys_for_Life,,not horror
Bad Grandpa,152,1012%,10.1,15.0,102.0,67.2%,49.8,32.8%,"151,831,537",2013,2010's,,,,not horror
Basic Instinct,353,720%,7.2,49,118,33.4%,235,66.6%,"352,927,224",1992,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=612,https://en.wikipedia.org/wiki/Basic_Instinct,,not horror
Batman,412,857%,8.6,48,251,61.1%,160,38.9%,"411,569,241",1989,1980's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=512,https://en.wikipedia.org/wiki/Batman_(1989_film),,not horror
Batman Begins,374,249%,2.5,150,207,55.4%,167,44.6%,"373,672,993",2005,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=568,https://www.imdb.com/title/tt0372784/,,not horror
Batman Forever,337,337%,3.4,100,184,54.7%,152,45.3%,"336,567,158",1995,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=643,https://en.wikipedia.org/wiki/Batman_Forever,,not horror
Batman v Superman,874,349%,3.5,250,330,37.8%,543,62.2%,"873,637,528",2016,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=276,,,not horror
Beauty and the Beast,1306,816%,8.2,160,504,38.6%,801,61.4%,"1,305,611,599",2017,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=217,,,not horror
Beauty and the Beast,425,1700%,17.0,25,219,51.5%,206,48.5%,"424,967,620",1991,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=500,https://en.wikipedia.org/wiki/Beauty_and_the_Beast_(1991_film),,not horror
Beverly Hills Cop,316,2434%,24.3,13,235,74.2%,82,25.8%,"316,360,478",1984,1980's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=685,https://en.wikipedia.org/wiki/Beverly_Hills_Cop,,not horror
Big Hero 6,658,399%,4.0,165,223,33.8%,435,66.2%,"657,869,686",2014,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=349,,,not horror
Black Adam,389,169%,1.7,230,163,43.1%,215,56.9%,"377,736,860",2022,2020's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=561,"https://en.wikipedia.org/wiki/Black_Adam_(film)#:~:text=The%20film%20received%20mixed%20reviews,as%20a%20box%2Doffice%20bomb.",,not horror
Black Panther,1382,674%,6.7,205,700,50.7%,682,49.3%,"1,382,248,826",2018,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=213,,,not horror
Black Panther: Wakanda Forever,676,270%,2.7,250,367,54.4%,309,45.6%,"676,036,389",2022,2020's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=342,https://boundingintocomics.com/2022/12/14/rumor-black-panther-wakanda-forever-needs-a-box-office-total-of-1-billion-to-break-even/,,not horror
Black Swan,329,2534%,25.3,13,107,32.5%,222,67.5%,"329,398,046",2010,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=660,,,not horror
Black Widow,380,190%,1.9,200,184,48.4%,196,51.6%,"379,751,655",2021,2020's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=557,https://en.wikipedia.org/wiki/Black_Widow_(2021_film),,not horror
Blair Witch Project,248,165333%,1653.3,0.15,140,56.4%,108,43.6%,"248,000,000",1999,1990's,https://www.the-numbers.com/movie/Blair-Witch-Project-The#tab=summary,personal communication,,horror
